proj id,points,
14,3,D.2.5                                                      
,2,C.4
,1,C.0
13,3,D.4.8  
,2,D.2.5                                                      
,1,D.4.5
12,2,D.2.0                   
,2,D.2.9
,2,B.m
2,3,D.2.8
,1,D.2.1
,1,D.2.5                                                      
,1,D.2.7
46,3,D.2.5                                                      
,2,D.2.8
,1,D.2.8
37,4,D.2.8
,2,D.2.2
89,3,D.2.8
,2,D.2.4
,1,D.2.5                                                      
95,4,D.2.4
,2,D.2.4
94,2,D.2.2
,2,D.2.4
,2,D.2.9
92,4,D.2.4
,1,D.2.9
,1,D.2.4
21,1,D.2.1
,2,D.2.4
,2,D.2.5                                                      
,1,D.2.8
49,1,D.2.1
,2,D.2.4
,1,D.2.4
,1,D.2.5                                                      
,1,D.2.5                                                      
105,2,D.2.1
,4,D.2.2
103,6,C.4
59,1.75,D.2.5                                                      
,1.75,H.4.M
,1,D.2.1
,1,H.3.3
,0.5,H.3.1
75,4,D.2.4
,2,I.2.11
55,,
50,3,D.2.9
,3,D.2.9
44,2,D.2.8
,4,D.2.8
6,2,D.2.4
,2,D.2.5                                                      
,2,D.4.6
36,6,K.6.3
48,1,C.-0
,1,D.2.1
,1,D.2.4
,3,D.2.4
